"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"98","Nepal",5.13719987869263,6.51,6.53478896607812,6.49,5.18777777777778,7.5,7.5,8.33333333333333,7.5,9.36259454217787,4.30073141642188,9.13448832530351,7.21897769729515
"99","Netherlands",7.44890022277832,8.5,9.28320119431493,7.72,8.89444444444444,10,10,10,10,10,8.52455080900577,9.68,4.33634900453148
"100","New Zealand",7.29960012435913,8.88,9.26933229943284,8.5,9.73148148148148,10,10,10,10,10,7.86854612894828,9.72,6.6359210360715
"101","Nicaragua",6.13710021972656,6.86,6.7172169482688,7.01,7.91259259259259,5,2.5,10,10,9.5,3.76706642196051,7.05315014509007,6.6430604764534
"102","Niger",4.90959978103638,5.87,5.91613232173248,5.83,7.80407407407407,5,5,8.33333333333333,0,7.27638524085935,4.09848676122367,8.22238604744492,6.23947208247436
"103","Nigeria",4.72410011291504,6.38,5.89766701868781,6.86,7.32777777777778,7.5,7.5,5.83333333333333,2.5,6.99732545776947,4.32701005204644,6.06066005667767,8.5892553382714
"104","North Cyprus",5.53550004959106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Norway",7.48799991607666,8.44,9.25962464036024,7.62,7.40740740740741,10,10,10,10,10,8.55648797943039,9.8,4.92781174791609
"106","Pakistan",5.69329977035522,5.69,5.47181089613446,5.91,4.03925925925926,7.5,7.5,4.16666666666667,0,5.51239809063518,3.50506933972232,8.32,7.01879663734785
"107","Palestine",4.55280017852783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Panama",6.30480003356934,7.69,7.72463865534956,7.66,8.36111111111111,10,10,10,10,10,4.38553874838237,6.12,7.86561527451228
"109","Paraguay",5.69210004806519,6.9,6.77810528274612,7.03,8.17407407407407,7.5,10,10,5,8.95497675895403,4.1383990892354,6.44,8.30358058821502
"110","Peru",5.79680013656616,7.55,7.61269642489826,7.49,8.22555555555556,10,7.5,10,7.5,9.4784448040086,4.71584378079653,6.92,7.53016266779258
"111","Philippines",6.00600004196167,6.88,6.44299746233217,7.32,8.49074074074074,7.5,7.5,7.5,5,5.89786129033293,3.43658499798326,6.64,8.28529130997648
